Emu Log - Tue Jul 20 10:34:13 2021

=======================================================================

0x0000 - 0x000f    f0  90  90  90  f0  20  60  20  20  70  f0  10  f0  80  f0  f0  
0x0620 - 0x062f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0630 - 0x063f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0640 - 0x064f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0650 - 0x065f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0660 - 0x066f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0670 - 0x067f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0680 - 0x068f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0690 - 0x069f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x06a0 - 0x06af    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x06b0 - 0x06bf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x06c0 - 0x06cf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x06d0 - 0x06df    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x06e0 - 0x06ef    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x06f0 - 0x06ff    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0700 - 0x070f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0710 - 0x071f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0720 - 0x072f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0730 - 0x073f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0740 - 0x074f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0750 - 0x075f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0760 - 0x076f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0770 - 0x077f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0780 - 0x078f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0790 - 0x079f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x07a0 - 0x07af    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x07b0 - 0x07bf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x07c0 - 0x07cf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x07d0 - 0x07df    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x07e0 - 0x07ef    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x07f0 - 0x07ff    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0800 - 0x080f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0810 - 0x081f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0820 - 0x082f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0830 - 0x083f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0840 - 0x084f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0850 - 0x085f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0860 - 0x086f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0870 - 0x087f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0880 - 0x088f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0890 - 0x089f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x08a0 - 0x08af    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x08b0 - 0x08bf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x08c0 - 0x08cf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x08d0 - 0x08df    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x08e0 - 0x08ef    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x08f0 - 0x08ff    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0900 - 0x090f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0910 - 0x091f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0920 - 0x092f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0930 - 0x093f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0940 - 0x094f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0950 - 0x095f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0960 - 0x096f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0970 - 0x097f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0980 - 0x098f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0990 - 0x099f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x09a0 - 0x09af    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x09b0 - 0x09bf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x09c0 - 0x09cf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x09d0 - 0x09df    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x09e0 - 0x09ef    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x09f0 - 0x09ff    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0a00 - 0x0a0f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0a10 - 0x0a1f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0a20 - 0x0a2f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0a30 - 0x0a3f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0a40 - 0x0a4f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0a50 - 0x0a5f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0a60 - 0x0a6f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0a70 - 0x0a7f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0a80 - 0x0a8f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0a90 - 0x0a9f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0aa0 - 0x0aaf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0ab0 - 0x0abf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0ac0 - 0x0acf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0ad0 - 0x0adf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0ae0 - 0x0aef    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0af0 - 0x0aff    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0b00 - 0x0b0f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0b10 - 0x0b1f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0b20 - 0x0b2f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0b30 - 0x0b3f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0b40 - 0x0b4f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0b50 - 0x0b5f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0b60 - 0x0b6f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0b70 - 0x0b7f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0b80 - 0x0b8f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0b90 - 0x0b9f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0ba0 - 0x0baf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0bb0 - 0x0bbf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0bc0 - 0x0bcf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0bd0 - 0x0bdf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0be0 - 0x0bef    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0bf0 - 0x0bff    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0c00 - 0x0c0f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0c10 - 0x0c1f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0c20 - 0x0c2f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0c30 - 0x0c3f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0c40 - 0x0c4f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0c50 - 0x0c5f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0c60 - 0x0c6f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0c70 - 0x0c7f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0c80 - 0x0c8f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0c90 - 0x0c9f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0ca0 - 0x0caf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0cb0 - 0x0cbf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0cc0 - 0x0ccf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0cd0 - 0x0cdf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0ce0 - 0x0cef    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0cf0 - 0x0cff    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0d00 - 0x0d0f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0d10 - 0x0d1f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0d20 - 0x0d2f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0d30 - 0x0d3f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0d40 - 0x0d4f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0d50 - 0x0d5f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0d60 - 0x0d6f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0d70 - 0x0d7f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0d80 - 0x0d8f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0d90 - 0x0d9f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0da0 - 0x0daf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0db0 - 0x0dbf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0dc0 - 0x0dcf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0dd0 - 0x0ddf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0de0 - 0x0def    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0df0 - 0x0dff    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0e00 - 0x0e0f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0e10 - 0x0e1f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0e20 - 0x0e2f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0e30 - 0x0e3f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0e40 - 0x0e4f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0e50 - 0x0e5f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0e60 - 0x0e6f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0e70 - 0x0e7f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0e80 - 0x0e8f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0e90 - 0x0e9f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0ea0 - 0x0eaf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0eb0 - 0x0ebf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0ec0 - 0x0ecf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0ed0 - 0x0edf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0ee0 - 0x0eef    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0ef0 - 0x0eff    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0f00 - 0x0f0f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0f10 - 0x0f1f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0f20 - 0x0f2f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0f30 - 0x0f3f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0f40 - 0x0f4f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0f50 - 0x0f5f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0f60 - 0x0f6f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0f70 - 0x0f7f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0f80 - 0x0f8f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0f90 - 0x0f9f    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0fa0 - 0x0faf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0fb0 - 0x0fbf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0fc0 - 0x0fcf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0fd0 - 0x0fdf    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0fe0 - 0x0fef    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
0x0ff0 - 0x0fff    00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  

======================================================================

Memory    Instruction    Disassembly
0x0200    0x00e0         CLS
0x0202    0xa22a         LD I, 0x22a
0x0204    0x600c         LD V0, 0x0c
0x0206    0x6108         LD V1, 0x08
0x0208    0xd01f         DRW V0, V1, f
0x020a    0x7009         ADD V0, 0x09
0x020c    0xa239         LD I, 0x239
0x020e    0xd01f         DRW V0, V1, f
0x0210    0xa248         LD I, 0x248
0x0212    0x7008         ADD V0, 0x08
0x0214    0xd01f         DRW V0, V1, f
0x0216    0x7004         ADD V0, 0x04
0x0218    0xa257         LD I, 0x257
0x021a    0xd01f         DRW V0, V1, f
0x021c    0x7008         ADD V0, 0x08
0x021e    0xa266         LD I, 0x266
0x0220    0xd01f         DRW V0, V1, f
0x0222    0x7008         ADD V0, 0x08
0x0224    0xa275         LD I, 0x275
0x0226    0xd01f         DRW V0, V1, f
0x0228    0x1228         JMP 0x228
0x022a    0xff00         
0x022c    0xff00         
0x022e    0x3c00         SE Vc, 0x00
0x0232    0x3c00         SE Vc, 0x00
0x0236    0xff00         
0x0238    0xffff         
0x023a    0x00ff         
0x023c    0x0038         
0x023e    0x003f         
0x0240    0x003f         
0x0242    0x0038         
0x0244    0x00ff         
0x0246    0x00ff         
0x0248    0x8000         LD V0, V0
0x024a    0xe000         
0x024c    0xe000         
0x024e    0x8000         LD V0, V0
0x0250    0x8000         LD V0, V0
0x0252    0xe000         
0x0254    0xe000         
0x0256    0x80f8         
0x0258    0x00fc         
0x025a    0x003e         
0x025c    0x003f         
0x025e    0x003b         
0x0260    0x0039         
0x0262    0x00f8         
0x0264    0x00f8         
0x0266    0x0300         
0x0268    0x0700         
0x026a    0x0f00         
0x026c    0xbf00         JMP V0, 0xf00
0x0f33    0x0000         
0x0f35    0x0000         
0x0f37    0x0000         
0x0f39    0x0000         
0x0f3b    0x0000         
0x0f3d    0x0000         
0x0f3f    0x0000         
0x0f41    0x0000         
0x0f43    0x0000         
0x0f45    0x0000         
0x0f47    0x0000         
0x0f49    0x0000         
0x0f4b    0x0000         
0x0f4d    0x0000         
0x0f4f    0x0000         
0x0f51    0x0000         
0x0f53    0x0000         
0x0f55    0x0000         
0x0f57    0x0000         
0x0f59    0x0000         
0x0f5b    0x0000         
0x0f5d    0x0000         
0x0f5f    0x0000         
0x0f61    0x0000         
0x0f63    0x0000         
0x0f65    0x0000         
0x0f67    0x0000         
0x0f69    0x0000         
0x0f6b    0x0000         
0x0f6d    0x0000         
0x0f6f    0x0000         
0x0f71    0x0000         
0x0f73    0x0000         
0x0f75    0x0000         
0x0f77    0x0000         
0x0f79    0x0000         
0x0f7b    0x0000         
0x0f7d    0x0000         
0x0f7f    0x0000         
0x0f81    0x0000         
0x0f83    0x0000         
0x0f85    0x0000         
0x0f87    0x0000         
0x0f89    0x0000         
0x0f8b    0x0000         
0x0f8d    0x0000         
0x0f8f    0x0000         
0x0f91    0x0000         
0x0f93    0x0000         
0x0f95    0x0000         
0x0f97    0x0000         
0x0f99    0x0000         
0x0f9b    0x0000         
0x0f9d    0x0000         
0x0f9f    0x0000         
0x0fa1    0x0000         
0x0fa3    0x0000         
0x0fa5    0x0000         
0x0fa7    0x0000         
0x0fa9    0x0000         
0x0fab    0x0000         
0x0fad    0x0000         
0x0faf    0x0000         
0x0fb1    0x0000         
0x0fb3    0x0000         
0x0fb5    0x0000         
0x0fb7    0x0000         
0x0fb9    0x0000         
0x0fbb    0x0000         
0x0fbd    0x0000         
0x0fbf    0x0000         
0x0fc1    0x0000         
0x0fc3    0x0000         
0x0fc5    0x0000         
0x0fc7    0x0000         
0x0fc9    0x0000         
0x0fcb    0x0000         
0x0fcd    0x0000         
0x0fcf    0x0000         
0x0fd1    0x0000         
